locale,audio_id,provider,model,num_segments,processing_time_s,WER,CER,MER,WIL,WIP,S,S_%,D,D_%,I,I_%,SemanticSim,LevenshteinSim,Language,Cohort,Sub_Cohort,Duration_mins,Duration_Cat,Gender_Type,Region,Age_Group,Overlap,Gap,Conv_Density,S1_State,S2_State,Total_Gap_s,Total_Overlap_s
pt-BR,Latam_POR_BR_300,gladia,gladia-v2,428,37.767,17.37%,0.1123,0.1729,0.2211,0.7789,90,5.1,208,11.8,9,0.5,0.9855,0.8877,Portuguese,Portuguese,Brazilian Portuguese,16.4,Medium,Unknown,Jacareí,Unknown,No Overlap,Medium,Low,Jacareí,Jacareí,67,0
vi-VN,HnamLien_04_3013.wav,openai_gpt4o,gpt-4o-transcribe,746,151.009,17.28%,0.1398,0.1604,0.1996,0.8004,200,4,271,5.5,384,7.8,0.9802,0.8634,Vietnamese,Vietnamese,Vietnamese,30.22,Long,Male,Hanoi,Youth,No Overlap,Medium,Low,Hanoi,Hanoi,99.47,0
pt-BR,Latam_POR_BR_308,gemini_flash,gemini-2.5-flash,332,245.947,17.27%,0.1067,0.1652,0.2429,0.7571,294,8.8,131,3.9,153,4.6,0.9922,0.8939,Portuguese,Portuguese,Brazilian Portuguese,20.25,Long,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,161,0
pt-BR,Latam_POR_BR_145,gemini_flash,gemini-2.5-flash,149,60.851,17.24%,0.0983,0.1624,0.2296,0.7704,87,7.5,41,3.6,71,6.2,0.9698,0.9031,Portuguese,Portuguese,Brazilian Portuguese,10.17,Medium,Unknown,Mogi das Cruzes,Unknown,No Overlap,Medium,Medium,Mogi das Cruzes,Rio Claro,148,0
pt-BR,Latam_POR_BR_217,gemini_flash,gemini-2.5-flash,254,99.258,17.24%,0.1172,0.1675,0.234,0.766,222,7.2,218,7.1,89,2.9,0.972,0.8828,Portuguese,Portuguese,Brazilian Portuguese,15.17,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Low,High,Rio de Janeiro,Florianópolis,56,0
pt-BR,Latam_POR_BR_028,openai_gpt4o_mini,gpt-4o-mini-transcribe,133,63.766,17.22%,0.106,0.1703,0.2216,0.7784,141,5.4,280,10.7,28,1.1,0.9393,0.894,Portuguese,Portuguese,Brazilian Portuguese,15.22,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,High,Rio de Janeiro,São João da Boa Vista,93,0
pt-BR,Latam_POR_BR_217,gemini_pro,gemini-2.5-pro,211,184.272,17.20%,0.1087,0.166,0.2394,0.7606,250,8.1,167,5.4,111,3.6,0.9651,0.8913,Portuguese,Portuguese,Brazilian Portuguese,15.17,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Low,High,Rio de Janeiro,Florianópolis,56,0
es-VE,Latam_SPA_VE_036,deepgram,nova-3,134,14.366,17.18%,0.1298,0.17,0.2482,0.7518,171,8.6,148,7.5,21,1.1,0.7954,0.8702,Spanish,Spanish,Venezuelan Spanish,10.78,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,86,0
es-VE,Latam_SPA_VE_036,soniox,stt-async-v4,82,28.73,17.18%,0.1187,0.1689,0.2343,0.7657,140,7.1,166,8.4,34,1.7,0.9186,0.8813,Spanish,Spanish,Venezuelan Spanish,10.78,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,86,0
es-PE,Latam_SPA_PE_056,assemblyai,universal,31,72.886,17.12%,0.1153,0.1708,0.1944,0.8056,102,2.4,617,14.5,9,0.2,0.9866,0.8847,Spanish,Spanish,Peruvian Spanish,30.07,Long,Unknown,Lima,Unknown,No Overlap,High,Low,Lima,Lima,151,0
vi-VN,ThanhHoa_24_1500.wav,gladia,gladia-v2,394,156.125,17.05%,0.1009,0.1699,0.268,0.732,304,11.1,152,5.6,9,0.3,0.9405,0.8991,Vietnamese,Vietnamese,Vietnamese,15,Medium,Male,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
es-VE,Latam_SPA_VE_004,microsoft,ConversationTranscriber,78,287.52,17.03%,0.131,0.17,0.2083,0.7917,61,4,197,12.9,2,0.1,0.9848,0.869,Spanish,Spanish,Venezuelan Spanish,9.85,Short,Unknown,Isla de margaria,Unknown,No Overlap,Medium,Medium,Isla de margaria,Caracas,76,0
es-VE,Latam_SPA_VE_038,speechmatics,speechmatics-batch,69,17.784,17.03%,0.1092,0.1687,0.2444,0.7556,211,8.3,196,7.7,24,0.9,0.8069,0.8908,Spanish,Spanish,Venezuelan Spanish,12.95,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,91,0
vi-VN,ThaoLe_04_4903.wav,aws_transcribe,aws-transcribe,137,259.4,16.96%,0.1001,0.163,0.2653,0.7347,1411,12.1,91,0.8,475,4.1,0.9556,0.903,Vietnamese,Vietnamese,Vietnamese,49.05,Long,Female,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,45.77,0
vi-VN,ThaoLe_03_2955.wav,gladia,gladia-v2,898,194.36,16.91%,0.1052,0.1627,0.2615,0.7385,846,11.6,101,1.4,287,3.9,0.8464,0.8973,Vietnamese,Vietnamese,Vietnamese,29.92,Long,Female,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,20.37,0
pt-BR,Latam_POR_BR_279,gladia,gladia-v2,615,30.61,16.90%,0.1137,0.1678,0.2075,0.7925,106,4.1,312,12.1,18,0.7,0.9406,0.8863,Portuguese,Portuguese,Brazilian Portuguese,15.15,Medium,Unknown,Rio Claro,Unknown,No Overlap,Low,Medium,Rio Claro,Florianópolis,55,0
pt-BR,Latam_POR_BR_273,assemblyai,universal,30,47.228,16.87%,0.1046,0.1676,0.212,0.788,162,4.6,404,11.6,22,0.6,0.9882,0.8954,Portuguese,Portuguese,Brazilian Portuguese,21.67,Long,Unknown,São Paulo,Unknown,No Overlap,Medium,Medium,São Paulo,Rio de Janeiro,66,0
es-VE,Latam_SPA_VE_032,gemini_flash,gemini-2.5-flash,167,67.911,16.81%,0.1109,0.1647,0.2275,0.7725,124,6.8,146,8,38,2.1,0.9547,0.8891,Spanish,Spanish,Venezuelan Spanish,10.28,Medium,Unknown,Turmero,Unknown,No Overlap,Medium,High,Turmero,Caracas,84,0
vi-VN,ThanhHoa_02_2500.wav,speechmatics,speechmatics-batch,39,83.156,16.81%,0.11,0.1612,0.2548,0.7452,400,10.9,60,1.6,156,4.3,0.9773,0.8933,Vietnamese,Vietnamese,Vietnamese,25,Long,Male,Hanoi,Youth,No Overlap,Medium,Low,Hanoi,Hanoi,74.17,0
pt-BR,Latam_POR_BR_248,openai_gpt4o,gpt-4o-transcribe,339,55.052,16.76%,0.1064,0.1667,0.2087,0.7913,119,4.4,322,11.9,14,0.5,0.9662,0.8936,Portuguese,Portuguese,Brazilian Portuguese,15.48,Medium,Unknown,Rio Claro,Unknown,No Overlap,Low,Medium,Rio Claro,São Paulo,45,0
pt-BR,Latam_POR_BR_248,openai_gpt4o_mini,gpt-4o-mini-transcribe,339,59.122,16.76%,0.1064,0.1667,0.2087,0.7913,119,4.4,322,11.9,14,0.5,0.9662,0.8936,Portuguese,Portuguese,Brazilian Portuguese,15.48,Medium,Unknown,Rio Claro,Unknown,No Overlap,Low,Medium,Rio Claro,São Paulo,45,0
vi-VN,HnamLien_04_3013.wav,assemblyai,universal,48,66.168,16.72%,0.1343,0.1559,0.1964,0.8036,208,4.2,261,5.3,358,7.2,0.9739,0.8683,Vietnamese,Vietnamese,Vietnamese,30.22,Long,Male,Hanoi,Youth,No Overlap,Medium,Low,Hanoi,Hanoi,99.47,0
pt-BR,Latam_POR_BR_028,openai_gpt4o,gpt-4o-transcribe,147,55.355,16.64%,0.1035,0.165,0.2105,0.7895,124,4.8,288,11,22,0.8,0.9393,0.8965,Portuguese,Portuguese,Brazilian Portuguese,15.22,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,High,Rio de Janeiro,São João da Boa Vista,93,0
pt-BR,Latam_POR_BR_308,gemini_pro,gemini-2.5-pro,253,232.313,16.62%,0.0949,0.1629,0.2454,0.7546,309,9.2,180,5.4,67,2,0.9932,0.9051,Portuguese,Portuguese,Brazilian Portuguese,20.25,Long,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,161,0
es-PE,Latam_SPA_PE_035,gladia,gladia-v2,492,45.394,16.60%,0.1038,0.1644,0.2108,0.7892,90,4.9,200,10.8,18,1,0.9675,0.8962,Spanish,Spanish,Peruvian Spanish,15.43,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,São Paulo,121,0
vi-VN,QuangDung_19_3001,gladia,gladia-v2,1026,175.346,16.60%,0.124,0.1638,0.2374,0.7626,471,8.1,418,7.2,78,1.3,0.9107,0.876,Vietnamese,Vietnamese,Vietnamese,30.02,Long,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,5.62,0
es-PE,Latam_SPA_PE_071,gladia,gladia-v2,526,30.498,16.55%,0.1085,0.1638,0.2353,0.7647,165,7.8,162,7.7,22,1,0.9685,0.8915,Spanish,Spanish,Peruvian Spanish,15.25,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,Lima,101,0
pt-BR,Latam_POR_BR_102,soniox,stt-async-v4,29,34.475,16.53%,0.0924,0.1638,0.2046,0.7954,64,4.2,173,11.4,14,0.9,0.9718,0.9076,Portuguese,Portuguese,Brazilian Portuguese,10.17,Medium,Unknown,são paulo,Unknown,No Overlap,Medium,Medium,são paulo,Guarulhos,66,0
vi-VN,ThanhHoa_02_2500.wav,deepgram,nova-3,315,17.536,16.48%,0.1115,0.1575,0.2467,0.7533,380,10.4,54,1.5,170,4.6,0.9781,0.8923,Vietnamese,Vietnamese,Vietnamese,25,Long,Male,Hanoi,Youth,No Overlap,Medium,Low,Hanoi,Hanoi,74.17,0
es-PE,Latam_SPA_PE_023,openai_gpt4o_mini,gpt-4o-mini-transcribe,206,59.148,16.40%,0.1229,0.1623,0.2009,0.7991,94,4,269,11.4,25,1.1,0.9588,0.8771,Spanish,Spanish,Peruvian Spanish,15.08,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,Cusco,110,0
pt-BR,Latam_POR_BR_193,microsoft,ConversationTranscriber,119,441.046,16.38%,0.0876,0.1605,0.2343,0.7657,245,8.1,187,6.2,62,2.1,0.9721,0.9124,Portuguese,Portuguese,Brazilian Portuguese,15.07,Medium,Unknown,Florianópolis,Unknown,No Overlap,Medium,Medium,Florianópolis,Rio de Janeiro,60,0
es-VE,Latam_SPA_VE_031,openai_gpt4o,gpt-4o-transcribe,102,37.866,16.32%,0.1008,0.1614,0.2289,0.7711,130,7.3,139,7.8,20,1.1,0.8127,0.8992,Spanish,Spanish,Venezuelan Spanish,10.38,Medium,Unknown,caracas,Unknown,No Overlap,Medium,Medium,caracas,Caracas,100,0
pt-BR,Latam_POR_BR_037,gladia,gladia-v2,799,28.489,16.32%,0.098,0.1615,0.2162,0.7838,190,5.8,309,9.5,34,1,0.9243,0.902,Portuguese,Portuguese,Brazilian Portuguese,17.67,Medium,Unknown,Florianópolis,Unknown,No Overlap,Medium,Medium,Florianópolis,Rio Claro,79,0
pt-BR,Latam_POR_BR_145,openai_gpt4o,gpt-4o-transcribe,351,45.301,16.29%,0.1055,0.1581,0.2142,0.7858,69,6,84,7.3,35,3,0.97,0.8945,Portuguese,Portuguese,Brazilian Portuguese,10.17,Medium,Unknown,Mogi das Cruzes,Unknown,No Overlap,Medium,Medium,Mogi das Cruzes,Rio Claro,148,0
pt-BR,Latam_POR_BR_145,openai_gpt4o_mini,gpt-4o-mini-transcribe,351,42.092,16.29%,0.1055,0.1581,0.2142,0.7858,69,6,84,7.3,35,3,0.97,0.8945,Portuguese,Portuguese,Brazilian Portuguese,10.17,Medium,Unknown,Mogi das Cruzes,Unknown,No Overlap,Medium,Medium,Mogi das Cruzes,Rio Claro,148,0
pt-BR,Latam_POR_BR_181,openai_gpt4o_mini,gpt-4o-mini-transcribe,336,54.046,16.26%,0.1187,0.1618,0.1955,0.8045,98,3.5,348,12.3,14,0.5,0.9138,0.8813,Portuguese,Portuguese,Brazilian Portuguese,15.15,Medium,Unknown,Florianópolis,Unknown,No Overlap,Low,Medium,Florianópolis,Rio Claro,27,0
vi-VN,ThaoLe_04_4903.wav,soniox,stt-async-v4,89,162.817,16.26%,0.0992,0.1562,0.2554,0.7446,1362,11.7,53,0.5,480,4.1,0.9889,0.9041,Vietnamese,Vietnamese,Vietnamese,49.05,Long,Female,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,45.77,0
pt-BR,Latam_POR_BR_145,aws_transcribe,aws-transcribe,71,61.266,16.20%,0.1081,0.1589,0.2222,0.7778,79,6.8,85,7.4,23,2,0.96,0.8919,Portuguese,Portuguese,Brazilian Portuguese,10.17,Medium,Unknown,Mogi das Cruzes,Unknown,No Overlap,Medium,Medium,Mogi das Cruzes,Rio Claro,148,0
vi-VN,DungQuang_30_1500,gladia,gladia-v2,485,112.541,16.14%,0.1191,0.1601,0.2325,0.7675,219,7.9,205,7.4,22,0.8,0.8821,0.8809,Vietnamese,Vietnamese,Vietnamese,15,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,6.3,0
es-PE,Latam_SPA_PE_023,openai_gpt4o,gpt-4o-transcribe,201,49.123,16.06%,0.1192,0.1588,0.1948,0.8052,87,3.7,266,11.2,27,1.1,0.9588,0.8808,Spanish,Spanish,Peruvian Spanish,15.08,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,Cusco,110,0
es-VE,Latam_SPA_VE_038,deepgram,nova-3,148,10.275,16.04%,0.1117,0.1586,0.2265,0.7735,187,7.4,190,7.5,29,1.1,0.7824,0.8883,Spanish,Spanish,Venezuelan Spanish,12.95,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,91,0
pt-BR,Latam_POR_BR_181,openai_gpt4o,gpt-4o-transcribe,336,53.188,15.98%,0.1162,0.159,0.192,0.808,96,3.4,342,12.1,14,0.5,0.9138,0.8838,Portuguese,Portuguese,Brazilian Portuguese,15.15,Medium,Unknown,Florianópolis,Unknown,No Overlap,Low,Medium,Florianópolis,Rio Claro,27,0
pt-BR,Latam_POR_BR_181,gladia,gladia-v2,597,28.383,15.98%,0.1108,0.1583,0.1992,0.8008,120,4.2,306,10.8,26,0.9,0.9068,0.8892,Portuguese,Portuguese,Brazilian Portuguese,15.15,Medium,Unknown,Florianópolis,Unknown,No Overlap,Low,Medium,Florianópolis,Rio Claro,27,0
es-VE,Latam_SPA_VE_036,gemini_flash,gemini-2.5-flash,167,72.063,15.97%,0.1006,0.1567,0.2318,0.7682,164,8.3,115,5.8,37,1.9,0.9488,0.8994,Spanish,Spanish,Venezuelan Spanish,10.78,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,86,0
es-PE,Latam_SPA_PE_056,openai_gpt4o,gpt-4o-transcribe,284,99.909,15.92%,0.1053,0.1587,0.1911,0.8089,142,3.3,523,12.3,12,0.3,0.9897,0.8947,Spanish,Spanish,Peruvian Spanish,30.07,Long,Unknown,Lima,Unknown,No Overlap,High,Low,Lima,Lima,151,0
es-PE,Latam_SPA_PE_056,openai_gpt4o_mini,gpt-4o-mini-transcribe,284,96.09,15.92%,0.1053,0.1587,0.1911,0.8089,142,3.3,523,12.3,12,0.3,0.9897,0.8947,Spanish,Spanish,Peruvian Spanish,30.07,Long,Unknown,Lima,Unknown,No Overlap,High,Low,Lima,Lima,151,0
pt-BR,Latam_POR_BR_028,speechmatics,speechmatics-batch,141,42.228,15.91%,0.0894,0.1576,0.213,0.787,154,5.9,236,9,25,1,0.9521,0.9106,Portuguese,Portuguese,Brazilian Portuguese,15.22,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,High,Rio de Janeiro,São João da Boa Vista,93,0
pt-BR,Latam_POR_BR_275,soniox,stt-async-v4,105,47.393,15.90%,0.0893,0.1569,0.217,0.783,140,6.5,176,8.1,29,1.3,0.9665,0.9107,Portuguese,Portuguese,Brazilian Portuguese,15.22,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,186,0
es-PE,Latam_SPA_PE_018,openai_gpt4o,gpt-4o-transcribe,120,55.146,15.86%,0.1,0.1575,0.188,0.812,72,3.1,281,12.1,15,0.6,0.959,0.9,Spanish,Spanish,Peruvian Spanish,15.15,Medium,Unknown,Nuevo Chimbote,Unknown,No Overlap,Medium,Medium,Nuevo Chimbote,Trujillo,75,0
es-PE,Latam_SPA_PE_018,openai_gpt4o_mini,gpt-4o-mini-transcribe,120,59.922,15.86%,0.1,0.1575,0.188,0.812,72,3.1,281,12.1,15,0.6,0.959,0.9,Spanish,Spanish,Peruvian Spanish,15.15,Medium,Unknown,Nuevo Chimbote,Unknown,No Overlap,Medium,Medium,Nuevo Chimbote,Trujillo,75,0
pt-BR,Latam_POR_BR_248,assemblyai,universal,50,32.558,15.80%,0.0982,0.1573,0.1959,0.8041,109,4,307,11.3,13,0.5,0.9779,0.9018,Portuguese,Portuguese,Brazilian Portuguese,15.48,Medium,Unknown,Rio Claro,Unknown,No Overlap,Low,Medium,Rio Claro,São Paulo,45,0
pt-BR,Latam_POR_BR_102,speechmatics,speechmatics-batch,25,27.996,15.74%,0.0775,0.1564,0.221,0.779,106,7,123,8.1,10,0.7,0.9809,0.9225,Portuguese,Portuguese,Brazilian Portuguese,10.17,Medium,Unknown,são paulo,Unknown,No Overlap,Medium,Medium,são paulo,Guarulhos,66,0
pt-BR,Latam_POR_BR_181,assemblyai,universal,18,32.752,15.69%,0.1004,0.1561,0.2053,0.7947,147,5.2,282,10,15,0.5,0.9226,0.8996,Portuguese,Portuguese,Brazilian Portuguese,15.15,Medium,Unknown,Florianópolis,Unknown,No Overlap,Low,Medium,Florianópolis,Rio Claro,27,0
pt-BR,Latam_POR_BR_037,speechmatics,speechmatics-batch,54,38.425,15.68%,0.0813,0.1556,0.2178,0.7822,219,6.7,269,8.2,24,0.7,0.9085,0.9187,Portuguese,Portuguese,Brazilian Portuguese,17.67,Medium,Unknown,Florianópolis,Unknown,No Overlap,Medium,Medium,Florianópolis,Rio Claro,79,0
vi-VN,ThaoLe_03_2955.wav,deepgram,nova-3,91,20.739,15.54%,0.0943,0.1506,0.2483,0.7517,828,11.3,75,1,231,3.2,0.9511,0.9078,Vietnamese,Vietnamese,Vietnamese,29.92,Long,Female,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,20.37,0
es-VE,Latam_SPA_VE_036,gemini_pro,gemini-2.5-pro,114,107.651,15.46%,0.1043,0.1511,0.2247,0.7753,161,8.1,99,5,46,2.3,0.9468,0.8957,Spanish,Spanish,Venezuelan Spanish,10.78,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,86,0
es-VE,Latam_SPA_VE_004,assemblyai,universal,40,18.983,15.39%,0.112,0.1538,0.1793,0.8207,40,2.6,194,12.7,1,0.1,0.9826,0.888,Spanish,Spanish,Venezuelan Spanish,9.85,Short,Unknown,Isla de margaria,Unknown,No Overlap,Medium,Medium,Isla de margaria,Caracas,76,0
pt-BR,Latam_POR_BR_046,speechmatics,speechmatics-batch,67,84.429,15.38%,0.0811,0.1528,0.2055,0.7945,249,5.6,406,9.1,29,0.7,0.9663,0.9189,Portuguese,Portuguese,Brazilian Portuguese,31,Long,Unknown,São Paulo,Unknown,No Overlap,High,Medium,São Paulo,Lauro de freitas,223,0
vi-VN,DatVu_02_1503.wav,speechmatics,speechmatics-batch,41,47.048,15.36%,0.0723,0.1528,0.2669,0.7331,340,13.3,40,1.6,14,0.5,0.913,0.9277,Vietnamese,Vietnamese,Vietnamese,15.05,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,42.29,0
pt-BR,Latam_POR_BR_024,gemini_pro,gemini-2.5-pro,208,195.14,15.33%,0.084,0.1488,0.225,0.775,256,8.5,114,3.8,91,3,0.9275,0.916,Portuguese,Portuguese,Brazilian Portuguese,15.05,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,Medium,Rio de Janeiro,Rio de Janeiro,88,0
vi-VN,ThaoLe_03_2955.wav,gemini_pro,gemini-2.5-pro,294,375.245,15.32%,0.0908,0.1472,0.2402,0.7598,791,10.8,31,0.4,296,4.1,0.8832,0.9126,Vietnamese,Vietnamese,Vietnamese,29.92,Long,Female,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,20.37,0
pt-BR,Latam_POR_BR_037,assemblyai,universal,51,52.106,15.31%,0.0873,0.1515,0.1969,0.8031,155,4.7,311,9.5,34,1,0.9255,0.9127,Portuguese,Portuguese,Brazilian Portuguese,17.67,Medium,Unknown,Florianópolis,Unknown,No Overlap,Medium,Medium,Florianópolis,Rio Claro,79,0
es-VE,Latam_SPA_VE_031,gemini_pro,gemini-2.5-pro,141,127.647,15.30%,0.103,0.1499,0.2245,0.7755,146,8.2,88,5,37,2.1,0.8222,0.897,Spanish,Spanish,Venezuelan Spanish,10.38,Medium,Unknown,caracas,Unknown,No Overlap,Medium,Medium,caracas,Caracas,100,0
pt-BR,Latam_POR_BR_028,microsoft,ConversationTranscriber,96,445.434,15.30%,0.0782,0.1497,0.2202,0.7798,202,7.7,139,5.3,58,2.2,0.9601,0.9218,Portuguese,Portuguese,Brazilian Portuguese,15.22,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,High,Rio de Janeiro,São João da Boa Vista,93,0
vi-VN,ThaoLe_03_2955.wav,aws_transcribe,aws-transcribe,82,137.702,15.20%,0.0907,0.1462,0.2373,0.7627,772,10.6,47,0.6,290,4,0.8902,0.9122,Vietnamese,Vietnamese,Vietnamese,29.92,Long,Female,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,20.37,0
es-VE,Latam_SPA_VE_016,assemblyai,universal,43,50.149,15.17%,0.1001,0.1513,0.1904,0.8096,206,4.1,546,10.8,14,0.3,0.9228,0.8999,Spanish,Spanish,Venezuelan Spanish,30.3,Long,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Caracas,149,0
vi-VN,ThanhHoa_24_1500.wav,speechmatics,speechmatics-batch,1,41.45,15.14%,0.0734,0.1501,0.2659,0.7341,369,13.5,20,0.7,24,0.9,0.9653,0.9275,Vietnamese,Vietnamese,Vietnamese,15,Medium,Male,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
pt-BR,Latam_POR_BR_037,openai_gpt4o,gpt-4o-transcribe,303,76.765,15.09%,0.087,0.1493,0.1958,0.8042,159,4.9,298,9.1,36,1.1,0.9196,0.913,Portuguese,Portuguese,Brazilian Portuguese,17.67,Medium,Unknown,Florianópolis,Unknown,No Overlap,Medium,Medium,Florianópolis,Rio Claro,79,0
vi-VN,DatVu_02_1503.wav,elevenlabs,scribe_v2,64,44.743,15.09%,0.0685,0.1494,0.2669,0.7331,353,13.8,9,0.4,25,1,0.8991,0.9322,Vietnamese,Vietnamese,Vietnamese,15.05,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,42.29,0
vi-VN,PhongThanh_16_3000,speechmatics,speechmatics-batch,32,206.921,15.08%,0.0719,0.1501,0.2673,0.7327,885,13.6,66,1,27,0.4,0.9677,0.9281,Vietnamese,Vietnamese,Vietnamese,30,Long,Male,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
es-PE,Latam_SPA_PE_023,soniox,stt-async-v4,28,53.551,15.05%,0.1168,0.1499,0.1831,0.8169,81,3.4,266,11.2,9,0.4,0.9785,0.8832,Spanish,Spanish,Peruvian Spanish,15.08,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,Cusco,110,0
vi-VN,ThaoLe_03_2955.wav,openai_gpt4o,gpt-4o-transcribe,590,158.078,15.05%,0.1101,0.1461,0.2186,0.7814,587,8,294,4,217,3,0.9608,0.8899,Vietnamese,Vietnamese,Vietnamese,29.92,Long,Female,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,20.37,0
vi-VN,ThaoLe_03_2955.wav,openai_gpt4o_mini,gpt-4o-mini-transcribe,590,156.368,15.05%,0.1101,0.1461,0.2186,0.7814,587,8,294,4,217,3,0.9608,0.8899,Vietnamese,Vietnamese,Vietnamese,29.92,Long,Female,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,20.37,0
pt-BR,Latam_POR_BR_181,soniox,stt-async-v4,24,59.958,15.02%,0.1004,0.1492,0.1858,0.8142,107,3.8,298,10.5,20,0.7,0.9257,0.8996,Portuguese,Portuguese,Brazilian Portuguese,15.15,Medium,Unknown,Florianópolis,Unknown,No Overlap,Low,Medium,Florianópolis,Rio Claro,27,0
pt-BR,Latam_POR_BR_037,openai_gpt4o_mini,gpt-4o-mini-transcribe,235,65.445,14.97%,0.0838,0.1481,0.1972,0.8028,169,5.2,285,8.7,35,1.1,0.9196,0.9162,Portuguese,Portuguese,Brazilian Portuguese,17.67,Medium,Unknown,Florianópolis,Unknown,No Overlap,Medium,Medium,Florianópolis,Rio Claro,79,0
vi-VN,ThaoLe_03_2955.wav,elevenlabs,scribe_v2,60,100.804,14.95%,0.0919,0.1433,0.2317,0.7683,749,10.3,28,0.4,314,4.3,0.847,0.9118,Vietnamese,Vietnamese,Vietnamese,29.92,Long,Female,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,20.37,0
pt-BR,Latam_POR_BR_193,gemini_flash,gemini-2.5-flash,260,106.075,14.93%,0.0864,0.1428,0.2045,0.7955,205,6.8,108,3.6,137,4.5,0.9801,0.9136,Portuguese,Portuguese,Brazilian Portuguese,15.07,Medium,Unknown,Florianópolis,Unknown,No Overlap,Medium,Medium,Florianópolis,Rio de Janeiro,60,0
es-AR,Latam_SPA_AR_065,gladia,gladia-v2,315,22.844,14.92%,0.0974,0.1482,0.1883,0.8117,67,4.2,163,10.1,10,0.6,0.9827,0.9026,Spanish,Spanish,Argentinian Spanish,11.08,Medium,Unknown,Buenos Aires,Unknown,No Overlap,Medium,Medium,Buenos Aires,CABA,93,0
es-VE,Latam_SPA_VE_032,deepgram,nova-3,144,9.369,14.90%,0.1007,0.148,0.1995,0.8005,100,5.5,161,8.8,12,0.7,0.9735,0.8993,Spanish,Spanish,Venezuelan Spanish,10.28,Medium,Unknown,Turmero,Unknown,No Overlap,Medium,High,Turmero,Caracas,84,0
vi-VN,ThaoLe_03_2955.wav,gemini_flash,gemini-2.5-flash,419,427.406,14.90%,0.0921,0.143,0.231,0.769,743,10.2,42,0.6,302,4.1,0.8796,0.9113,Vietnamese,Vietnamese,Vietnamese,29.92,Long,Female,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,20.37,0
pt-BR,Latam_POR_BR_024,gemini_flash,gemini-2.5-flash,255,122.005,14.89%,0.0841,0.1447,0.2093,0.7907,212,7,148,4.9,88,2.9,0.7984,0.9159,Portuguese,Portuguese,Brazilian Portuguese,15.05,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,Medium,Rio de Janeiro,Rio de Janeiro,88,0
vi-VN,PhongThanh_16_3000,microsoft,ConversationTranscriber,133,887.746,14.81%,0.0692,0.1475,0.2679,0.7321,914,14.1,17,0.3,30,0.5,0.9511,0.9311,Vietnamese,Vietnamese,Vietnamese,30,Long,Male,Hanoi,Youth,No Overlap,No Gap,Low,Hanoi,Hanoi,0,0
