locale,audio_id,provider,model,num_segments,processing_time_s,WER,CER,MER,WIL,WIP,S,S_%,D,D_%,I,I_%,SemanticSim,LevenshteinSim,Language,Cohort,Sub_Cohort,Duration_mins,Duration_Cat,Gender_Type,Region,Age_Group,Overlap,Gap,Conv_Density,S1_State,S2_State,Total_Gap_s,Total_Overlap_s
es-VE,Latam_SPA_VE_028,aws_transcribe,aws-transcribe,47,61.173,4.61%,0.0294,0.046,0.0741,0.9259,44,2.9,22,1.5,4,0.3,0.9981,0.9706,Spanish,Spanish,Venezuelan Spanish,10.2,Medium,Unknown,GUAYANA,Unknown,No Overlap,Low,Medium,GUAYANA,Puerto ordaz,53,0
es-AR,Latam_SPA_AR_009,gemini_flash,gemini-2.5-flash,194,93.251,4.55%,0.0298,0.0454,0.0635,0.9365,59,1.9,75,2.4,11,0.3,0.987,0.9702,Spanish,Spanish,Argentinian Spanish,20.27,Long,Unknown,Buenos aires,Unknown,No Overlap,Medium,Medium,Buenos aires,El bolson,106,0
es-VE,Latam_SPA_VE_028,deepgram,nova-3,152,8.802,4.55%,0.0321,0.0454,0.071,0.929,40,2.6,26,1.7,3,0.2,1,0.9679,Spanish,Spanish,Venezuelan Spanish,10.2,Medium,Unknown,GUAYANA,Unknown,No Overlap,Low,Medium,GUAYANA,Puerto ordaz,53,0
es-VE,Latam_SPA_VE_028,openai_gpt4o_mini,gpt-4o-mini-transcribe,102,34.62,4.48%,0.0262,0.0447,0.0685,0.9315,37,2.4,28,1.8,3,0.2,0.9996,0.9738,Spanish,Spanish,Venezuelan Spanish,10.2,Medium,Unknown,GUAYANA,Unknown,No Overlap,Low,Medium,GUAYANA,Puerto ordaz,53,0
es-PE,Latam_SPA_PE_071,gemini_flash,gemini-2.5-flash,203,85.612,4.46%,0.0233,0.0444,0.0652,0.9348,45,2.1,39,1.8,10,0.5,0.9836,0.9767,Spanish,Spanish,Peruvian Spanish,15.25,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,Lima,101,0
es-PE,Latam_SPA_PE_071,gemini_pro,gemini-2.5-pro,102,109.771,4.46%,0.0201,0.0443,0.0674,0.9326,50,2.4,30,1.4,14,0.7,1,0.9799,Spanish,Spanish,Peruvian Spanish,15.25,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,Lima,101,0
es-PE,Latam_SPA_PE_035,speechmatics,speechmatics-batch,30,30.441,4.26%,0.0239,0.0425,0.0542,0.9458,22,1.2,52,2.8,5,0.3,0.9881,0.9761,Spanish,Spanish,Peruvian Spanish,15.43,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,São Paulo,121,0
es-AR,Latam_SPA_AR_052,gemini_flash,gemini-2.5-flash,225,114.909,4.24%,0.0225,0.0423,0.0639,0.9361,102,2.2,82,1.8,12,0.3,0.9884,0.9775,Spanish,Spanish,Argentinian Spanish,30.05,Long,Unknown,Buenos Aires,Unknown,No Overlap,Medium,Medium,Buenos Aires,Buenos aires,143,0
es-AR,Latam_SPA_AR_009,aws_transcribe,aws-transcribe,84,91.769,4.21%,0.021,0.0419,0.0633,0.9367,70,2.2,51,1.6,13,0.4,0.9665,0.979,Spanish,Spanish,Argentinian Spanish,20.27,Long,Unknown,Buenos aires,Unknown,No Overlap,Medium,Medium,Buenos aires,El bolson,106,0
es-PE,Latam_SPA_PE_035,aws_transcribe,aws-transcribe,94,76.605,4.15%,0.0213,0.0413,0.0619,0.9381,39,2.1,30,1.6,8,0.4,0.9984,0.9787,Spanish,Spanish,Peruvian Spanish,15.43,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,São Paulo,121,0
es-VE,Latam_SPA_VE_028,soniox,stt-async-v4,32,52.064,4.02%,0.0242,0.0402,0.0608,0.9392,32,2.1,27,1.8,2,0.1,0.9992,0.9758,Spanish,Spanish,Venezuelan Spanish,10.2,Medium,Unknown,GUAYANA,Unknown,No Overlap,Low,Medium,GUAYANA,Puerto ordaz,53,0
es-VE,Latam_SPA_VE_028,gemini_flash,gemini-2.5-flash,37,40.23,3.96%,0.0204,0.0395,0.0645,0.9355,39,2.6,18,1.2,3,0.2,0.9963,0.9796,Spanish,Spanish,Venezuelan Spanish,10.2,Medium,Unknown,GUAYANA,Unknown,No Overlap,Low,Medium,GUAYANA,Puerto ordaz,53,0
es-AR,Latam_SPA_AR_009,gemini_pro,gemini-2.5-pro,115,154.662,3.70%,0.0197,0.0369,0.0584,0.9416,70,2.2,39,1.2,9,0.3,0.9937,0.9803,Spanish,Spanish,Argentinian Spanish,20.27,Long,Unknown,Buenos aires,Unknown,No Overlap,Medium,Medium,Buenos aires,El bolson,106,0
es-PE,Latam_SPA_PE_035,gemini_pro,gemini-2.5-pro,78,106.03,3.50%,0.0185,0.0348,0.0502,0.9498,29,1.6,24,1.3,12,0.6,0.9994,0.9815,Spanish,Spanish,Peruvian Spanish,15.43,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,São Paulo,121,0
vi-VN,DungQuang_30_1500,assemblyai,universal,32,48.881,3.22%,0.0187,0.0322,0.0537,0.9463,61,2.2,23,0.8,5,0.2,0.983,0.9813,Vietnamese,Vietnamese,Vietnamese,15,Medium,Male,Hanoi,Youth,No Overlap,Low,Low,Hanoi,Hanoi,6.3,0
pt-BR,Latam_POR_BR_028,elevenlabs,scribe_v2,197,47.078,3.18%,0.018,0.0315,0.0454,0.9546,37,1.4,19,0.7,27,1,1,0.982,Portuguese,Portuguese,Brazilian Portuguese,15.22,Medium,Unknown,Rio de Janeiro,Unknown,No Overlap,Medium,High,Rio de Janeiro,São João da Boa Vista,93,0
es-PE,Latam_SPA_PE_035,soniox,stt-async-v4,34,41.413,3.07%,0.016,0.0306,0.0464,0.9536,30,1.6,17,0.9,10,0.5,0.9959,0.984,Spanish,Spanish,Peruvian Spanish,15.43,Medium,Unknown,Lima,Unknown,No Overlap,Medium,Medium,Lima,São Paulo,121,0
pt-BR,Latam_POR_BR_037,elevenlabs,scribe_v2,114,46.188,3.06%,0.0176,0.0301,0.0386,0.9614,28,0.9,21,0.6,51,1.6,0.9825,0.9825,Portuguese,Portuguese,Brazilian Portuguese,17.67,Medium,Unknown,Florianópolis,Unknown,No Overlap,Medium,Medium,Florianópolis,Rio Claro,79,0
es-VE,Latam_SPA_VE_028,gemini_pro,gemini-2.5-pro,44,75.82,2.97%,0.0172,0.0296,0.0471,0.9529,27,1.8,15,1,3,0.2,0.9982,0.9828,Spanish,Spanish,Venezuelan Spanish,10.2,Medium,Unknown,GUAYANA,Unknown,No Overlap,Low,Medium,GUAYANA,Puerto ordaz,53,0
pt-BR,Latam_POR_BR_308,elevenlabs,scribe_v2,273,57.03,2.81%,0.0153,0.0279,0.0428,0.9572,51,1.5,18,0.5,25,0.7,0.9943,0.9847,Portuguese,Portuguese,Brazilian Portuguese,20.25,Long,Unknown,Rio de Janeiro,Unknown,No Overlap,High,Medium,Rio de Janeiro,Lauro de freitas,161,0
es-VE,Latam_SPA_VE_038,elevenlabs,scribe_v2,111,50.606,2.65%,0.0153,0.0262,0.0409,0.9591,38,1.5,7,0.3,22,0.9,0.9886,0.9847,Spanish,Spanish,Venezuelan Spanish,12.95,Medium,Unknown,Caracas,Unknown,No Overlap,Medium,Medium,Caracas,Turmero,91,0
pt-BR,Latam_POR_BR_046,elevenlabs,scribe_v2,188,80.688,2.52%,0.0117,0.025,0.0376,0.9624,57,1.3,22,0.5,33,0.7,0.9986,0.9883,Portuguese,Portuguese,Brazilian Portuguese,31,Long,Unknown,São Paulo,Unknown,No Overlap,High,Medium,São Paulo,Lauro de freitas,223,0
es-AR,Latam_SPA_AR_001,elevenlabs,scribe_v2,125,42.841,2.35%,0.0119,0.0233,0.0377,0.9623,30,1.5,5,0.2,13,0.6,1,0.9882,Spanish,Spanish,Argentinian Spanish,15.12,Medium,Unknown,Tucuman,Unknown,No Overlap,Medium,Medium,Tucuman,tucuman,129,0
pt-BR,Latam_POR_BR_248,elevenlabs,scribe_v2,98,48.456,2.32%,0.0165,0.0231,0.0275,0.9725,12,0.4,37,1.4,14,0.5,1,0.9835,Portuguese,Portuguese,Brazilian Portuguese,15.48,Medium,Unknown,Rio Claro,Unknown,No Overlap,Low,Medium,Rio Claro,São Paulo,45,0
